Summer 2010 [Final],OCR,GCSE, Engineering:Impact of Modern Technologies on Engineering (Examined Unit):Written Paper  ,A624/02,1h 00m ,20 May 2010, Thursday pm  
Summer 2010 [Final],AQA,GCSE, Business Studies B  ,3133/3F,1h 15m ,15 June 2010, Tuesday am  
Summer 2010 [Final],OCR,GCE, Business Studies:Business Thematic Enquiry:Written Paper  ,2879/01,1h 30m ,22 June 2010, Tuesday am  
Summer 2010 [Final],AQA,GCE, Business Studies 4  ,BUSS4,1h 45m ,22 June 2010, Tuesday am  
January 2012 [Final],OCR,GCE," French: Listening, Reading and Writing 2:Written Paper  ",F704/01,2h 45m ,24 January 2012, Tuesday am  
Summer 2013 [Provisional],AQA,GCE, Biology 4  ,BIOL4,1h 30m ,11 June 2013, Tuesday am  
Summer 2013 [Provisional],WJEC,GCE, Biology BY4  ,107401,1h 45m ,11 June 2013, Tuesday am  
Summer 2013 [Provisional],WJEC,GCE, Human Biology HB4  ,107402,1h 45m ,11 June 2013, Tuesday am  
Summer 2013 [Provisional],AQA,GCE, Biology 5  ,BIOL5,2h 15m ,17 June 2013, Monday pm  
Summer 2013 [Provisional],WJEC,GCE, Biology BY5  ,107501,1h 45m ,17 June 2013, Monday pm  
Summer 2013 [Provisional],WJEC,GCE, Human Biology BY5  ,107501,1h 45m ,17 June 2013, Monday pm  
Summer 2013 [Provisional],AQA,GCE, General Studies A 1  }    ,GENA1/2,0h 0m  ,20 May 2013, Monday am  
Summer 2013 [Provisional],AQA,GCE, General Studies A 1  OT }  ,GENA1/1,1h 30m ,20 May 2013, Monday am  
Summer 2013 [Provisional],AQA,GCE, General Studies A 2  }    ,GENA2/2,0h 0m  ,23 May 2013, Thursday pm  
Summer 2013 [Provisional],AQA,GCE, General Studies A 2  OT  }  ,GENA2/1,1h 30m ,23 May 2013, Thursday pm  
Summer 2013 [Provisional],AQA,GCE, General Studies A 3  ,GENA3,2h     ,7 June 2013, Friday am  
Summer 2013 [Provisional],AQA,GCE, General Studies A 4    ,GENA4,2h     ,12 June 2013, Wednesday am  
Summer 2012 [Final],CCEA,GCSE, DAS: Physics Unit 1 (Higher)  ,GSD32,1h 00m ,24 May 2012, Thursday am  
Summer 2012 [Final],CCEA,GCSE, DAS: Physics Unit 1 (Foundation)  ,GSD31,1h 00m ,24 May 2012, Thursday am  
January 2010 [Final],AQA,GCE, Information and Communication Technology 3 (New Specification)    ,INFO3,2h     ,27 January 2010, Wednesday pm  
Summer 2009 [Final],AQA,GCE, Statistics 5 Written  ,SS05,1h 30m ,15 June 2009, Monday pm  
Summer 2009 [Final],OCR,GCE, Mathematics:MEI Statistics 4:Written Paper  ,4769/01,1h 30m ,15 June 2009, Monday pm  
Summer 2009 [Final],OCR,GCE, Mathematics:MEI Statistics 1:Written Paper  ,4766/01,1h 30m ,15 June 2009, Monday pm  
Summer 2009 [Final],OCR,GCE, Mathematics:MEI Statistics 2:Written Paper  ,4767/01,1h 30m ,15 June 2009, Monday pm  
Summer 2009 [Final],OCR,GCE, Mathematics:MEI AS Statistics 1:Written Paper  ,G241/01,1h 30m ,15 June 2009, Monday pm  
Summer 2009 [Final],AQA,GCSE, Statistics Written  ,3311/H,2h 30m ,16 June 2009, Tuesday am  
Summer 2009 [Final],AQA,GCSE, Statistics Written  ,3311/F,2h 00m ,16 June 2009, Tuesday am  
Summer 2009 [Final] Changed,OCR,GCE, Mathematics:MEI Statistics 3:Written Paper  ,4768/01,1h 30m ,17 June 2009, Wednesday am  
Summer 2009 [Final],CCEA,GCE, Mathematics S4  ,AMS41,1h 45m ,17 June 2009, Wednesday am  
Summer 2009 [Final],Edexcel,GCE, MATHEMATICS: STATISTICS STATISTICS S3  ,6691 01,1h 30m ,17 June 2009, Wednesday am  
Summer 2012 [Final],AQA,GCE, Applied Health and Social Care 15  ,HC15,2h     ,21 June 2012, Thursday pm  
Summer 2012 [Final],WJEC,GCSE, Health &amp; Social Care Unit 3  ,472301,1h 15m ,26 June 2012, Tuesday am  
Summer 2012 [Final],OCR,GCSE, Health and Social Care:Safeguarding and Protecting Individuals:Written Paper  ,A914/02,1h 00m ,26 June 2012, Tuesday pm  
Summer 2012 [Final],Edexcel,GCSE," HEALTH AND SOCIAL CARE UNIT 4: HEALTH, SOCIAL CARE AND EARLY YEARS IN PRACTICE  ",5HS04,1h 15m ,26 June 2012, Tuesday pm  
Summer 2012 [Final],OCR,GCSE, Health and Social Care:Safeguarding and Protecting Individuals:CBT  ,A914/01,1h 00m ,26 June 2012, Tuesday pm  
January 2013 [Provisional],WJEC,GCE, Chemistry CH1  ,109101,1h 30m ,10 January 2013, Thursday am  
January 2013 [Provisional],AQA,GCE, Chemistry 1  ,CHEM1,1h 15m ,10 January 2013, Thursday am  
January 2013 [Provisional],Edexcel,GCE, CHEMISTRY: THE CORE PRINCIPLES OF CHEMISTRY  ,6CH01,1h 30m ,10 January 2013, Thursday am  
January 2013 [Provisional],AQA,GCE, Chemistry 4  ,CHEM4,1h 45m ,14 January 2013, Monday pm  
January 2013 [Provisional],WJEC,GCE, Chemistry CH4  ,109401,1h 45m ,14 January 2013, Monday pm  
January 2013 [Provisional],AQA,GCE, Chemistry 2  ,CHEM2,1h 45m ,16 January 2013, Wednesday am  
January 2013 [Provisional],WJEC,GCE, Chemistry CH2  ,109201,1h 30m ,16 January 2013, Wednesday am  
January 2013 [Provisional],AQA,GCE, Chemistry 5  ,CHEM5,1h 45m ,22 January 2013, Tuesday pm  
January 2013 [Provisional],AQA,GCSE, Written  ,CHY2F,45m    ,29 January 2013, Tuesday am  
January 2013 [Provisional],AQA,GCSE, Written  ,CHY1F,45m    ,29 January 2013, Tuesday am  
January 2010 [Final],WJEC,GCE, Physics PH4 (New Specification)  ,132401,1h 30m ,28 January 2010, Thursday pm  
January 2010 [Final],Edexcel,GCE, PHYSICS PHYSICS ON THE MOVE  ,6PH04,1h 35m ,28 January 2010, Thursday pm  
January 2010 [Final],Edexcel,GCE, PHYSICS FIELDS AND FORCES  ,6735 01,1h 00m ,28 January 2010, Thursday pm  
January 2010 [Final],Edexcel,GCE, PHYSICS WAVES AND THE UNIVERSE  ,6734 01,1h 20m ,28 January 2010, Thursday pm  
January 2010 [Final],Edexcel,GCE, PHYSICS MOVING WITH PHYSICS  ,6754 01,1h 30m ,28 January 2010, Thursday pm  
January 2010 [Final],Edexcel,GCE, PHYSICS WRITTEN TEST  ,6755 02,1h 00m ,28 January 2010, Thursday pm  
January 2010 [Final],Edexcel,GCE, PHYSICS EXPLORING PHYSICS  ,6756 01,1h 30m ,3 February 2010, Wednesday pm  
January 2010 [Final],Edexcel,GCE, PHYSICS SYNOPTIC  ,6736 01,2h 00m ,3 February 2010, Wednesday pm  
Summer 2010 [Final],OCR,GCSE, Leisure and Tourism:Understanding the leisure and tourism industries:Written Paper  ,B181/01,1h 30m ,17 May 2010, Monday pm  
Summer 2010 [Final],OCR,GCSE, Leisure and Tourism:Working in the leisure and tourism industries:Written Paper  ,B183/01,1h 30m ,20 May 2010, Thursday pm  
Summer 2010 [Final],CCEA,GCSE, IT Key Skills Test Level 2  ,GKJ20,1h 00m ,6 May 2010, Thursday am  
Summer 2010 [Final],CCEA,GCSE, IT Key Skills Test Level 1  ,GKJ10,1h 00m ,6 May 2010, Thursday am  
Summer 2010 [Final],AQA,GCSE, German B (Modular) Listening Test    ,46604/LF,30m    ,16 June 2010, Wednesday pm  
Summer 2010 [Final],Edexcel,GCSE, GERMAN READING FOUNDATION  ,1231 3F,0h 40m ,16 June 2010, Wednesday pm  
Summer 2010 [Final],AQA,GCSE, German (Short Course) Listening    ,3667/LH,30m    ,16 June 2010, Wednesday pm  
Summer 2010 [Final],Edexcel,GCSE, GERMAN LISTENING FOUNDATION  ,1231 1F,0h 35m ,16 June 2010, Wednesday pm  
Summer 2010 [Final],WJEC,GCSE, German Reading Unit 3 Foundation (New Specification)  ,426301,35m    ,16 June 2010, Wednesday pm  
Summer 2010 [Final],WJEC,GCSE, German Listening Higher (Legacy)  ,16306,45m    ,16 June 2010, Wednesday pm  
Summer 2010 [Final],AQA,GCSE, German (Listening)    ,3661/LF,35m    ,16 June 2010, Wednesday pm  
Summer 2010 [Final],OCR,GCSE, German: Reading (Higher)  ,2363/02,0h 50m ,16 June 2010, Wednesday pm  
Summer 2010 [Final],Edexcel,GCSE, GERMAN UNIT 3 READING FOUNDATION  ,5GN03,0h 35m ,16 June 2010, Wednesday pm  
January 2010 [Final],AQA,GCE, Applied Business 15  ,BS15,1h 30m ,1 February 2010, Monday pm  
Summer 2012 [Final],CCEA,GCSE, Local &amp; Global Citizenship Unit 5  ,GLW51,0h 45m ,11 May 2012, Friday am  
Summer 2012 [Provisional],CCEA,ELC, ELQ Local &amp; Global Citizenship  ,ELL31,0h 45m ,11 May 2012, Friday am  
Summer 2012 [Final],CCEA,GCSE, Local &amp; Global Citizenship Unit 3  ,GLW31,1h 30m ,11 May 2012, Friday am  
Summer 2012 [Final],CCEA,GCSE, Local &amp; Global Citizenship Unit 4  ,GLW41,0h 45m ,11 May 2012, Friday am  
Summer 2012 [Final],CCEA,GCSE, Local &amp; Global Citizenship Unit 6  ,GLW61,0h 45m ,11 May 2012, Friday pm  
Summer 2013 [Provisional],AQA,GCSE, Science A 1 Unit 5  ,SCA1FP,1h 30m ,5 June 2013, Wednesday pm  
Summer 2013 [Provisional],AQA,GCSE, Science A 1 Unit 5  ,SCA1HP,1h 30m ,5 June 2013, Wednesday pm  
Summer 2013 [Provisional],AQA,GCSE, Science A 2 Unit 6  ,SCA2HP,1h 30m ,13 June 2013, Thursday am  
Summer 2013 [Provisional],AQA,GCSE, Science A 2 Unit 6  ,SCA2FP,1h 30m ,13 June 2013, Thursday am  
January 2010 [Final],CCEA,ELC, Local &amp; Global Citizenship  ,ELW11,0h 45m ,7 January 2010, Thursday am  
January 2010 [Final],CCEA,ELC, P.S.H.E.  ,ELW21,0h 45m ,7 January 2010, Thursday pm  
January 2010 [Final],CCEA,ELC, Learning for Work  ,ELW31,0h 45m ,8 January 2010, Friday am  
January 2010 [Final],AQA,GCE, Business Studies 4 (New Specification)  ,BUSS4,1h 45m ,1 February 2010, Monday pm  
January 2010 [Final],AQA,GCE, General Studies B 5  ,GSB5,1h 15m ,26 January 2010, Tuesday pm  
January 2009 [Final],CCEA,GCE, ICT A2 2  ,A2W21,1h 30m ,16 January 2009, Friday am  
January 2009 [Final],CCEA,GCE, ICT A2 1  ,A2W11,1h 30m ,16 January 2009, Friday am  
January 2009 [Final],AQA,GCE, Information and Communication Technology 4 Written  ,ICT4,2h 00m ,23 January 2009, Friday am  
January 2009 [Final],CCEA,GCE, ICT AS 2  ,ASW21,1h 30m ,23 January 2009, Friday am  
January 2009 [Final],OCR,GCE, Information and Communication Technology:ICT Systems and Systems Management:Written Paper  ,2517/01,1h 30m ,23 January 2009, Friday am  
January 2009 [Final],OCR,GCE, Information and Communication Technology:Communications Technology and its Application:Written Paper  ,2515/01,1h 30m ,23 January 2009, Friday am  
January 2009 [Final],AQA,GCE, Information and Communication Technology 5 Written  ,ICT5,2h 00m ,27 January 2009, Tuesday pm  
Summer 2013 [Provisional],WJEC,GCSE, Geology Unit 1 (on screen)  ,425001,1h 30m ,16 May 2013, Thursday am  
Summer 2013 [Provisional],WJEC,GCE, Geology GL1  ,121101,1h     ,16 May 2013, Thursday pm  
Summer 2013 [Provisional],OCR,GCE, Geology:Global Tectonics:Written  ,F791/01,1h 00m ,16 May 2013, Thursday pm  
Summer 2013 [Provisional],OCR,GCE, Geology:Rocks - Processes and Products:Written  ,F792/01,1h 45m ,22 May 2013, Wednesday am  
Summer 2013 [Provisional],WJEC,GCE, Geology GL3  ,121301,1h 15m ,22 May 2013, Wednesday am  
Summer 2013 [Provisional],WJEC,GCE, Geology GL4  ,121401,2h     ,3 June 2013, Monday am  
Summer 2013 [Provisional],OCR,GCE," Geology:Evolution of Life, Earth and Climate:Written  ",F795/01,1h 45m ,3 June 2013, Monday am  
Summer 2013 [Provisional],OCR,GCE, Geology:Environmental Geology:Written  ,F794/01,1h 00m ,11 June 2013, Tuesday pm  
Summer 2013 [Provisional],WJEC,GCE, Geology GL5  ,121501,2h     ,11 June 2013, Tuesday pm  
January 2012 [Final],OCR,GCE, Critical Thinking:Introduction to Critical Thinking:Written Paper  ,F501/01,1h 30m ,11 January 2012, Wednesday pm  
January 2012 [Final],AQA,GCE, Critical Thinking 1  ,CRIT1,1h 30m ,11 January 2012, Wednesday pm  
January 2012 [Final],OCR,GCE, Critical Thinking:Assessing and Developing Argument:Written Paper  ,F502/02,1h 10m ,19 January 2012, Thursday am  
January 2012 [Final],OCR,GCE, Critical Thinking:Assessing and Developing Argument:Multiple Choice  ,F502/01,0h 20m ,19 January 2012, Thursday am  
January 2012 [Final],AQA,GCE, Critical Thinking 2  ,CRIT2,1h 30m ,19 January 2012, Thursday am  
January 2012 [Final],OCR,GCE, Critical Thinking:Ethical Reasoning and Decision-making:Written Paper  ,F503/01,1h 30m ,26 January 2012, Thursday am  
January 2012 [Final],OCR,GCE, Critical Thinking:Critical Reasoning:Written Paper  ,F504/01,1h 30m ,31 January 2012, Tuesday am  
November 2010 [Final],CCEA,GCSE, English 2 (Higher Tier)  ,G2904,2h 00m ,10 November 2010, Wednesday am  
November 2010 [Final],Edexcel,GCSE, UNPREPARED MEDIA TEXTS FOUNDATION PAPER  ,1203 3F,2h 00m ,10 November 2010, Wednesday am  
November 2010 [Final],Edexcel,GCSE, NON-FICTION (UNPREPARED) AND WRITING HIGHER  ,1204 5H,2h 00m ,10 November 2010, Wednesday am  
November 2010 [Final],Edexcel,GCSE, NON-FICTION (UNPREPARED) AND WRITING FOUNDATION  ,1204 3F,2h 00m ,10 November 2010, Wednesday am  
January 2010 [Final],AQA,GCE, History Unit 2L (New Specification)  ,HIS2L,1h 30m ,20 January 2010, Wednesday am  
January 2010 [Final],AQA,GCE, Government and Politics 7  ,GOV7,1h 30m ,22 January 2010, Friday am  
Summer 2011 [Final],OCR,GCSE, Home Economics:Principles of Food and Nutrition:Written Paper  ,B003/01,1h 30m ,17 May 2011, Tuesday am  
Summer 2011 [Final],CCEA,GCSE, Home Economics Unit 1  ,GHE11,1h 30m ,17 May 2011, Tuesday am  
Summer 2011 [Final] Changed,OCR,GCE, Home Economics:Society and Health:Written Paper  ,G001/01,1h 30m ,23 May 2011, Monday am  
Summer 2011 [Final],CCEA,GCE, Home Economics A2 1  ,AN211,2h 00m ,23 May 2011, Monday am  
Summer 2011 [Final],CCEA,GCE, Home Economics AS 1  ,AN111,1h 30m ,1 June 2011, Wednesday pm  
Summer 2011 [Final],CCEA,GCE, Home Economics AS 2  ,AN121,1h 30m ,6 June 2011, Monday pm  
Summer 2011 [Final] Changed,OCR,GCE, Home Economics:Resource Management:Written Paper  ,G002/01,1h 30m ,6 June 2011, Monday pm  
Summer 2011 [Final],OCR,GCSE, Home Economics:Principles of Child Development:Written Paper  ,B013/01,1h 30m ,10 June 2011, Friday pm  
Summer 2011 [Final] Changed,OCR,GCE, Home Economics:Nutrition and Food Production:Written Paper  ,G004/01,1h 30m ,15 June 2011, Wednesday am  
January 2010 [Final],AQA,GCE, History Unit 1F (New Specification)  ,HIS1F,1h 15m ,14 January 2010, Thursday pm  
January 2009 [Final],AQA,GCE, Accounting 1 (New Specification) Written  ,ACCN1,1h 30m ,9 January 2009, Friday pm  
January 2009 [Final],AQA,GCE, Accounting 2 (New Specification) Written  ,ACCN2,1h 30m ,9 January 2009, Friday pm  
Summer 2011 [Final],AQA,GCSE, Electronics Unit 1 (New Specification)  ,44301,2h     ,8 June 2011, Wednesday am  
January 2012 [Final],AQA,GCSE, Written  ,PHY1F,45m    ,30 January 2012, Monday pm  
January 2012 [Final],AQA,GCSE, Written  ,PHY2H,45m    ,30 January 2012, Monday pm  
January 2012 [Final],AQA,GCSE, Written  ,PHY3F,45m    ,30 January 2012, Monday pm  
January 2009 [Final],OCR,GCE, Business Studies:Business Functions:Written Paper  ,F292/01,2h 00m ,8 January 2009, Thursday am  
January 2009 [Final],Edexcel,GCE, BUSINESS STUDIES BUSINESS STRUCTURES  ,6121 01,1h 00m ,8 January 2009, Thursday am  
January 2009 [Final],CCEA,GCE, Business Studies AS 1  ,AT111,1h 30m ,8 January 2009, Thursday am  
January 2009 [Final],CCEA,GCE, Business Studies AS 2  ,AST21,1h 00m ,8 January 2009, Thursday am  
January 2009 [Final],Edexcel,GCE, BUSINESS STUDIES DEVELOPING NEW BUSINESS IDEAS (AS LEVEL)  ,6BS01,1h 15m ,8 January 2009, Thursday am  
January 2009 [Final],CCEA,GCE, Business Studies AS 1  ,AST11,1h 00m ,8 January 2009, Thursday am  
January 2009 [Final],OCR,GCSE, Business Studies:Business Organisation:Written Paper (Foundation)  ,2321/01,1h 15m ,13 January 2009, Tuesday am  
January 2009 [Final],OCR,GCSE, Business Studies:Business Organisation:Written Paper (Higher)  ,2321/02,1h 15m ,13 January 2009, Tuesday am  
Summer 2013 [Provisional],OCR,GCSE, Mathematics Unit B:Written (Foundation)  ,A502/01,1h 00m ,11 June 2013, Tuesday am  
Summer 2013 [Provisional],Edexcel,GCSE, Mathematics A Unit 1 (Higher)  ,1MA0 1H,1h 45m ,11 June 2013, Tuesday am  
Summer 2013 [Provisional],OCR,GCSE, Mathematics Unit A:Written (Higher)  ,A501/02,1h 00m ,11 June 2013, Tuesday am  
Summer 2013 [Provisional],AQA,GCSE, Mathematics Unit 2  ,43602H,1h 15m ,11 June 2013, Tuesday am  
Summer 2013 [Provisional],Edexcel,GCSE, Mathematics A Unit 1 (Foundation)  ,1MA0 1F,1h 45m ,11 June 2013, Tuesday am  
Summer 2013 [Provisional],OCR,GCE, Mathematics:Core Mathematics 3:Written  ,4723/01,1h 30m ,13 June 2013, Thursday am  
Summer 2013 [Provisional],WJEC,GCE, Mathematics C4  ,97601,1h 30m ,13 June 2013, Thursday am  
Summer 2009 [Final],CCEA,GCE, Chemistry AS 2 (MC)  ,AC121,1h 30m ,11 June 2009, Thursday pm  
Summer 2009 [Final],CCEA,GCSE, Chemistry 2 (Higher Tier)  ,G1404,2h 00m ,17 June 2009, Wednesday am  
Summer 2009 [Final],OCR,GCSE," Chemistry A: Unit 1 (C1, C2, C3) Foundation  ",A321/01,0h 40m ,17 June 2009, Wednesday am  
Summer 2009 [Final],OCR,GCSE," Chemistry B: Unit 2 (C4, C5, C6) Foundation  ",B642/01,1h 00m ,17 June 2009, Wednesday am  
Summer 2009 [Final],WJEC,GCSE, Science Chemistry 1  Higher  ,23602,45m    ,17 June 2009, Wednesday am  
Summer 2009 [Final],AQA,GCSE, Chemistry 1 Written  ,CHY1F,0h 45m ,17 June 2009, Wednesday am  
Summer 2009 [Final],OCR,GCSE," Chemistry A: Unit 1 (C1, C2, C3) Higher  ",A321/02,0h 40m ,17 June 2009, Wednesday am  
Summer 2009 [Final],AQA,GCSE, Chemistry 1 Written  ,CHY1H,0h 45m ,17 June 2009, Wednesday am  
Summer 2009 [Final],CCEA,GCSE, Chemistry 2 (Foundation Tier)  ,G1402,1h 30m ,17 June 2009, Wednesday am  
Summer 2009 [Final],OCR,GCSE," Chemistry B: Unit 2 (C4, C5, C6) Higher  ",B642/02,1h 00m ,17 June 2009, Wednesday am  
Summer 2013 [Provisional],AQA,GCE, Using and Applying Statistics 2 (FSMQ)    ,FSMQ 6990,1h 30m ,13 May 2013, Monday pm  
Summer 2013 [Provisional],AQA,GCE, Using and Applying Decision Mathematics (FSMQ)    ,FSMQ 6994,1h 30m ,14 May 2013, Tuesday pm  
Summer 2013 [Provisional],AQA,GCE, Modelling with Calculus 2 (FSMQ)    ,FSMQ 6992,1h 30m ,17 May 2013, Friday am  
Summer 2013 [Provisional],AQA,GCE, Working with Algebraic and Graphical Techniques 2 (FSMQ)    ,FSMQ 6991,1h 30m ,20 May 2013, Monday pm  
Summer 2013 [Provisional],AQA,GCE, Use of Mathematics 4/2  ,UOM4/2,1h 30m ,24 May 2013, Friday am  
Summer 2013 [Provisional],AQA,GCE, Use of Mathematics 4/1    ,UOM4/1,1h     ,24 May 2013, Friday am  
Summer 2010 [Final],AQA,GCSE, Citizenship Studies Unit 1 (Short Course) (New Specification)  ,41051,1h     ,18 June 2010, Friday pm  
Summer 2010 [Final],AQA,GCSE, Citizenship Studies Unit 1 (New Specification)  ,41051,1h     ,18 June 2010, Friday pm  
Summer 2011 [Final],CCEA,GCSE, Geography Unit 1 (Foundation Tier)  ,GGG11,1h 30m ,13 June 2011, Monday am  
Summer 2011 [Final],WJEC,GCSE, Geography Spec B Unit 1 Higher  ,424102,1h     ,13 June 2011, Monday am  
Summer 2011 [Final],Edexcel,GCSE," Geography A Unit 1: Skills And Challenges, Foundation Paper (1F)  ",5GA1F,1h 00m ,13 June 2011, Monday am  
Summer 2011 [Final],OCR,GCSE, Geography:Sustainable Decision Making:Written Paper (Foundation)  ,B561/01,1h 00m ,13 June 2011, Monday am  
Summer 2011 [Final] Changed,OCR,GCE, Geography:Global Issues:Written Paper  ,F763/01,2h 30m ,14 June 2011, Tuesday pm  
Summer 2011 [Final],Edexcel,GCE, Geography 3: Contested Planet  ,6GE03,2h 30m ,14 June 2011, Tuesday pm  
Summer 2011 [Final],WJEC,GCE, Geography G3  ,120301,2h 15m ,14 June 2011, Tuesday pm  
Summer 2011 [Final],AQA,GCE, Geography 3  ,GEOG3,2h 30m ,14 June 2011, Tuesday pm  
Summer 2011 [Final],Edexcel,GCSE," Geography A Unit 2: Natural Environment, Higher Paper (2H)  ",5GA2H,1h 00m ,17 June 2011, Friday am  
Summer 2011 [Final] Changed,OCR,GCSE, Geography:Similarities and Differences:Written Paper (Higher)  ,A673/02,1h 00m ,17 June 2011, Friday am  
Summer 2011 [Final],CCEA,GCE, Physics A2 3  ,AY231,1h 30m ,9 May 2011, Monday am  
Summer 2011 [Final],CCEA,GCE, Physics A2 3  ,AY232,1h 30m ,11 May 2011, Wednesday am  
Summer 2011 [Final],CCEA,GCE, Physics AS 3 Practical  ,AY131,1h 30m ,12 May 2011, Thursday am  
Summer 2011 [Final],CCEA,GCE, Physics AS 3 Practical (Alternative)  ,AY132,1h 30m ,13 May 2011, Friday am  
Summer 2011 [Final],CCEA,GCE, Physics A2 1  ,AY211,1h 30m ,24 May 2011, Tuesday am  
Summer 2011 [Final] Changed,OCR,GCE, Physics:Physics in Action:Written Paper  ,G491/01,1h 00m ,24 May 2011, Tuesday am  
Summer 2011 [Final] Changed,OCR,GCE, Physics:Mechanics:Written Paper  ,G481/01,1h 00m ,24 May 2011, Tuesday am  
Summer 2011 [Final] Changed,OCR,GCSE," Physics A: Unit 2 (P4, P5, P6) Higher  ",A332/02,0h 40m ,25 May 2011, Wednesday am  
Summer 2011 [Final],CCEA,GCSE, Physics 1 (Higher Tier)  ,G7604,1h 45m ,25 May 2011, Wednesday am  
Summer 2011 [Final] Changed,OCR,GCSE," Physics A: Unit 2 (P4, P5, P6) Foundation  ",A332/01,0h 40m ,25 May 2011, Wednesday am  
Summer 2009 [Final],OCR,GCE, Mathematics:Further Pure Mathematics 3:Written Paper  ,4727/01,1h 30m ,20 May 2009, Wednesday pm  
Summer 2009 [Final],AQA,GCE, Mathematics - Pure Core 1 Written    ,MPC1,1h 30m ,20 May 2009, Wednesday pm  
Summer 2009 [Final],OCR,GCE, Mathematics:Further Pure Mathematics 2:Written Paper  ,4726/01,1h 30m ,22 May 2009, Friday am  
Summer 2009 [Final],CCEA,GCE, Mathematics F3 (1hr 30m)  ,AMF31,1h 30m ,22 May 2009, Friday am  
Summer 2009 [Final],AQA,GCE, Mathematics - Further Pure 1 Written  ,MFP1,1h 30m ,1 June 2009, Monday am  
Summer 2009 [Final],AQA,GCE, Mathematics - Further Pure 2 Written  ,MFP2,1h 30m ,5 June 2009, Friday pm  
Summer 2009 [Final],OCR,GCE, Mathematics:Further Pure Mathematics 1:Written Paper  ,4725/01,1h 30m ,5 June 2009, Friday pm  
Summer 2009 [Final],AQA,GCE, Mathematics - Further Pure 3 Written  ,MFP3,1h 30m ,11 June 2009, Thursday am  
Summer 2009 [Final],AQA,GCE, Mathematics - Further Pure 4 Written  ,MFP4,1h 30m ,17 June 2009, Wednesday am  
Summer 2009 [Final],Edexcel,GCE, MATHEMATICS: PURE FURTHER PURE FP1  ,6674 01,1h 30m ,17 June 2009, Wednesday am  
Summer 2011 [Final],AQA,GCE, Communication and Culture 1  ,COMM1,1h 45m ,20 May 2011, Friday am  
Summer 2011 [Final],AQA,GCE, Communication and Culture 3  ,COMM3,2h     ,22 June 2011, Wednesday pm  
Summer 2012 [Final],CCEA,GCSE, DAS: Chemistry Unit 1 (Higher)  ,GSD22,1h 00m ,21 May 2012, Monday am  
Summer 2012 [Final],CCEA,GCSE, DAS: Chemistry Unit 1 (Foundation)  ,GSD21,1h 00m ,21 May 2012, Monday am  
Summer 2011 [Final] Changed,OCR,GCE, Mathematics:MEI Further Methods for Advanced Mathematics:Written Paper  ,4756/01,1h 30m ,20 June 2011, Monday am  
Summer 2012 [Final],OCR,GCSE," Science modules B2, C2, P2:Written Paper - Higher  ",B712/02,1h 30m ,24 May 2012, Thursday am  
Summer 2012 [Final],OCR,GCSE," Science B: Unit 2 (B2, C2, P2) Foundation  ",B622/01,1h 00m ,24 May 2012, Thursday am  
Summer 2012 [Final],OCR,GCSE, Science A: Unit 4 (Ideas in Context) Foundation  ,A214/01,0h 45m ,24 May 2012, Thursday am  
Summer 2012 [Final],OCR,GCSE," Science B: Unit 2 (B2, C2, P2) Higher  ",B622/02,1h 00m ,24 May 2012, Thursday am  
Summer 2012 [Final],OCR,GCSE, Science A: Unit 4 (Ideas in Context) Higher  ,A214/02,0h 45m ,24 May 2012, Thursday am  
Summer 2012 [Final],OCR,GCSE," Science modules B2, C2, P2:Written Paper - Foundation  ",B712/01,1h 30m ,24 May 2012, Thursday am  
Summer 2012 [Final],WJEC,GCSE, Science Biology 1 Higher (Legacy Specification)  ,23502,45m    ,30 May 2012, Wednesday pm  
Summer 2012 [Final],Edexcel,GCSE, PHYSICS STRUCTURED P2  ,5048F/H,0h 30m ,30 May 2012, Wednesday pm  
Summer 2012 [Final],Edexcel,GCSE, BIOLOGY STRUCTURED B2  ,5028 F/H,0h 30m ,30 May 2012, Wednesday pm  
Summer 2009 [Final],AQA,GCSE, Italian (Writing)  ,3631/WF,0h 40m ,21 May 2009, Thursday pm  
Summer 2009 [Final],AQA,GCSE, Italian (Writing)  ,3631/WH,1h 00m ,21 May 2009, Thursday pm  
Summer 2009 [Final],AQA,GCSE, Italian (Reading)  ,3631/RH,0h 50m ,21 May 2009, Thursday pm  
Summer 2009 [Final],Edexcel,GCSE, ITALIAN WRITING HIGHER  ,1237 4H,1h 00m ,21 May 2009, Thursday pm  
Summer 2009 [Final],AQA,GCSE, Italian (Reading)  ,3631/RF,0h 30m ,21 May 2009, Thursday pm  
Summer 2009 [Final],Edexcel,GCE, ITALIAN PRESCRIBED TOPICS &amp; TEXTS  ,6565 01,2h 00m ,11 June 2009, Thursday pm  
Summer 2009 [Final],Edexcel,GCE, ITALIAN WRITING IN REGISTERS  ,6566 03,1h 15m ,15 June 2009, Monday pm  
Summer 2009 [Final],Edexcel,GCE, ITALIAN READING AND WRITING  ,6566 02,0h 45m ,15 June 2009, Monday pm  
Summer 2009 [Final],Edexcel,GCE, ITALIAN LISTENING AND WRITING  ,6566 01,0h 45m ,15 June 2009, Monday pm  
January 2013 [Provisional],OCR,GCSE," Additional Science A: Unit 1 (B4, C4, P4) Foundation  ",A215/01,0h 40m ,14 January 2013, Monday am  
January 2013 [Provisional],OCR,GCSE," Additional Science B: Unit 2 (B4, C4, P4) Foundation  ",B624/01,1h 00m ,14 January 2013, Monday am  
